0014|20000427|20000427||2345678|041234567892|2|EA| |CD-1234
0018|20000427|20000427||2345678|041234567892|1|EA| |CD-1234
0123|20000427|20000427||2345678|041234567892|3|EA| |CD-1234
0345|20000427|20000427||2345678|041234567892|2|EA| |CD-1234
0456|20000427|20000427||2345678|041234567892|3|EA| |CD-1234
0233|20000427|20000427||2345678|041234567892|1|EA| |CD-1234
0014|20000427|20000427||1534265|041234564457|2|EA| |CD-4567
0018|20000427|20000427||1534265|041234564457|1|EA| |CD-4567
0123|20000427|20000427||1534265|041234564457|3|EA| |CD-4567
0345|20000427|20000427||1534265|041234564457|2|EA| |CD-4567
0456|20000427|20000427||1534265|041234564457|3|EA| |CD-4567
0233|20000427|20000427||1534265|041234564457|1|EA| |CD-4567
0223|20000427|20000427||1534265|041234564457|12|EA| |CD-4567
0114|20000427|20000427||1534265|041234564457|6|EA| |CD-4567
0188|20000427|20000427||1534265|041234564457|14|EA| |CD-4567
0191|20000427|20000427||1534265|041234564457|10|EA| |CD-4567
0111|20000427|20000427||1534265|041234564457|3|EA| |CD-4567
0222|20000427|20000427||1534265|041234564457|1|EA| |CD-4567
0333|20000427|20000427||1534265|041234564457|2|EA| |CD-4567
0444|20000427|20000427||1534265|041234564457|2|EA| |CD-4567
0555|20000427|20000427||1534265|041234564457|3|EA| |CD-4567
0667|20000427|20000427||1534265|041234564457|1|EA| |CD-4567
0777|20000427|20000427||1534265|041234564457|11|EA| |CD-4567
0888|20000427|20000427||1534265|041234564457|6|EA| |CD-4567
0999|20000427|20000427||1534265|041234564457|11|EA| |CD-4567
